evidence_level,subset,rul_threshold_tau,late_tolerance_epsilon,mean_difference_ocm_minus_rast,nominal_crossed_ci95_low,nominal_crossed_ci95_high,centered_bootstrap_p,bootstrap_p_mcse,exact_seed_signflip_p,eligible_engine_count,bootstrap_repetitions,holm_adjusted_p_all80,sensitivity_decision
RETROSPECTIVE ENDPOINT SENSITIVITY,FD002,50.0,1.0,-0.05,-0.10967938630999213,1.422473250300477e-17,0.0780921907809219,0.002683031901781491,0.0625,88,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD002,50.0,2.0,-0.04090909090909091,-0.0860819453697535,-0.002630724538619296,0.052394760523947606,0.002228106486123863,0.0625,88,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD002,50.0,5.0,-0.02954545454545454,-0.06400256410256411,-0.002019696969696976,0.06569343065693431,0.002477330552404967,0.0625,88,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD003,20.0,0.0,0.04285714285714285,-0.09999999999999999,0.21335714285714255,0.5735426457354265,0.004945371801553225,0.75,14,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD003,20.0,0.5,0.04285714285714286,-0.05,0.16363636363636364,0.45185481451854814,0.004976517611617765,0.5,14,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD003,20.0,1.0,0.04285714285714286,-0.05,0.16363636363636364,0.45185481451854814,0.004976517611617765,0.5,14,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD003,20.0,2.0,0.04285714285714286,0.0,0.14545454545454545,0.36626337366263373,0.00481758555342129,0.5,14,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD003,20.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,14,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD003,30.0,0.0,0.039999999999999994,-0.07620879120879125,0.1875,0.5353464653534646,0.004987241269595198,0.625,20,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD003,30.0,0.5,0.04,-0.06666666666666667,0.16666666666666663,0.4771522847715228,0.0049945273710850545,0.5625,20,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD003,30.0,1.0,0.04,-0.06666666666666667,0.16666666666666663,0.4771522847715228,0.0049945273710850545,0.5625,20,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD003,30.0,2.0,0.04,-0.02857142857142857,0.14400000000000002,0.3691630836916308,0.004825540544740743,0.5,20,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD003,30.0,5.0,0.02,0.0,0.08571428571428572,0.5915408459154085,0.004915242760207268,0.5,20,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD003,40.0,0.0,0.026086956521739136,-0.08695652173913043,0.16153846153846155,0.67003299670033,0.004701772786574964,0.75,23,10000,1.0,no adjusted evidence
