oob_regret,selected_candidate_index
0.030306716807459888,6
0.0022418327465575233,2
0.023800243114568104,3
0.011435509949511757,2
0.02699205365641802,2
0.052036553346999664,6
0.03914084520774974,6
0.06299453776363925,5
0.025690441446122772,2
0.021368933323133596,2
0.05517397831482021,5
0.09583798809959425,5
0.050754717260988444,5
0.031403355591857626,2
0.003649631849169277,2
0.009396379684880718,3
0.03728329558070213,6
0.00902860929702605,2
0.03220425526978521,6
0.08797970219095852,5
0.052364734959733775,5
0.001410344838231034,2
0.020123878164190756,3
0.014085746885592831,3
0.04132533512057682,6
0.011190678793549666,2
0.1386136699212851,8
0.02112672753913941,2
0.07177477449511813,5
0.03387332786000444,6
0.05502114279633895,6
0.27292263630601193,5
0.11140980270611144,5
0.008367503315722696,3
0.0030714920385125494,2
0.08570847264031076,5
0.013159333165519552,3
0.017002475410882692,2
0.024240917598007117,2
0.07555079123891076,1
0.013055136069211937,3
0.1073441373852556,8
0.0136481014687444,2
0.054220674236841085,5
0.021626432992217143,6
0.017914144709124835,2
0.010670100451967424,3
0.030481122881914235,3
0.04571702124458435,1
0.01858557035613656,2
0.013081205489993752,2
0.013516454106400122,3
0.06640292946325127,8
0.027085031688646843,3
0.03177852429996231,2
0.02384394808615918,6
0.008974847850432788,3
0.16043382033287606,8
0.026495494899785102,3
0.025611406380727036,2
0.03716554135812941,6
0.006370742496727061,2
0.06110882534924486,6
0.04905426767919101,5
0.0062626095723376796,2
0.014101963009811563,2
0.0008177624645687581,3
0.054227602102527195,5
0.014905629560017009,3
0.022026197155186028,6
0.02829698285540591,2
0.007058150605066871,2
0.14372330655971155,5
0.019228060545833606,3
0.07979084300392404,5
0.06859864077445352,5
0.12978374575108137,8
0.010890308546961186,3
0.012330945774496324,2
0.02316956408888099,2
0.061521874967504234,0
0.013340993834265624,3
0.07260928622656222,5
0.05412892322105807,6
0.08836331335360428,6
0.036237181471206664,6
0.03352336788706321,2
0.005267051206400503,3
0.026424404369318408,3
0.05248295790726738,6
0.02166216397761221,2
0.1409865806548848,8
0.012326833923352487,2
0.02155918623316616,3
0.09678018342597937,8
0.13507524856609418,8
0.03610887815660277,5
0.013987010300178349,2
0.021793270769373346,6
0.023554207750941414,2
0.012670385139943285,6
0.11949834120268393,5
0.008139621648079715,2
0.010360003281227492,3
0.030188526996983586,2
0.01777412985633306,2
0.07959590957677004,5
0.05428259631576551,6
0.05047291213174532,5
0.0,2
