subset,seed,left_point,right_point,maintenance_lead_cycles,late_to_early_cost_ratio,independent_unit,design_role,left_service_rate,right_service_rate,delta_service_rate,left_false_late_rate,right_false_late_rate,delta_false_late_rate,left_false_early_rate,right_false_early_rate,delta_false_early_rate,left_decision_cost_per_engine,right_decision_cost_per_engine,delta_decision_cost_per_engine,action_disagreement_rate,n_engines
FD001,123,core,rast,20.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.2,0.21,-0.009999999999999981,0.01,0.0,0.01,0.05,0.05,0.0,0.15,0.05,0.09999999999999999,0.03,100
FD001,123,asym,core,20.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.22,0.2,0.01999999999999999,0.0,0.01,-0.01,0.06,0.05,0.009999999999999995,0.06,0.15,-0.09,0.02,100
FD001,123,asym,rast,30.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.27,0.27,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.0,100
FD001,123,core,rast,30.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.27,0.27,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.0,100
FD001,123,asym,core,30.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.27,0.27,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.0,100
FD001,123,asym,rast,30.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.27,0.27,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.0,100
FD001,123,core,rast,30.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.27,0.27,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.0,100
FD001,123,asym,core,30.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.27,0.27,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.0,100
FD001,123,asym,rast,30.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.27,0.27,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.0,100
FD001,123,core,rast,30.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.27,0.27,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.0,100
FD001,123,asym,core,30.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.27,0.27,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.0,100
FD001,2024,asym,rast,10.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.08,0.08,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.0,100
FD001,2024,core,rast,10.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.09,0.08,0.009999999999999995,0.0,0.0,0.0,0.02,0.01,0.01,0.02,0.01,0.01,0.01,100
FD001,2024,asym,core,10.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.08,0.09,-0.009999999999999995,0.0,0.0,0.0,0.01,0.02,-0.01,0.01,0.02,-0.01,0.01,100
FD001,2024,asym,rast,10.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.08,0.08,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.0,100
FD001,2024,core,rast,10.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.09,0.08,0.009999999999999995,0.0,0.0,0.0,0.02,0.01,0.01,0.02,0.01,0.01,0.01,100
FD001,2024,asym,core,10.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.08,0.09,-0.009999999999999995,0.0,0.0,0.0,0.01,0.02,-0.01,0.01,0.02,-0.01,0.01,100
FD001,2024,asym,rast,10.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.08,0.08,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.0,100
FD001,2024,core,rast,10.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.09,0.08,0.009999999999999995,0.0,0.0,0.0,0.02,0.01,0.01,0.02,0.01,0.01,0.01,100
FD001,2024,asym,core,10.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.08,0.09,-0.009999999999999995,0.0,0.0,0.0,0.01,0.02,-0.01,0.01,0.02,-0.01,0.01,100
FD001,2024,asym,rast,20.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.17,0.18,-0.009999999999999981,0.02,0.02,0.0,0.03,0.04,-0.010000000000000002,0.07,0.08,-0.009999999999999995,0.03,100
FD001,2024,core,rast,20.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.2,0.18,0.020000000000000018,0.0,0.02,-0.02,0.04,0.04,0.0,0.04,0.08,-0.04,0.02,100
FD001,2024,asym,core,20.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.17,0.2,-0.03,0.02,0.0,0.02,0.03,0.04,-0.010000000000000002,0.07,0.04,0.030000000000000006,0.03,100
FD001,2024,asym,rast,20.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.17,0.18,-0.009999999999999981,0.02,0.02,0.0,0.03,0.04,-0.010000000000000002,0.13,0.14,-0.010000000000000009,0.03,100
FD001,2024,core,rast,20.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.2,0.18,0.020000000000000018,0.0,0.02,-0.02,0.04,0.04,0.0,0.04,0.14,-0.1,0.02,100
FD001,2024,asym,core,20.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.17,0.2,-0.03,0.02,0.0,0.02,0.03,0.04,-0.010000000000000002,0.13,0.04,0.09,0.03,100
FD001,2024,asym,rast,20.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.17,0.18,-0.009999999999999981,0.02,0.02,0.0,0.03,0.04,-0.010000000000000002,0.23,0.24,-0.009999999999999981,0.03,100
FD001,2024,core,rast,20.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.2,0.18,0.020000000000000018,0.0,0.02,-0.02,0.04,0.04,0.0,0.04,0.24,-0.19999999999999998,0.02,100
FD001,2024,asym,core,20.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.17,0.2,-0.03,0.02,0.0,0.02,0.03,0.04,-0.010000000000000002,0.23,0.04,0.19,0.03,100
FD001,2024,asym,rast,30.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.26,0.27,-0.010000000000000009,0.01,0.0,0.01,0.02,0.02,0.0,0.04,0.02,0.02,0.01,100
FD001,2024,core,rast,30.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.27,0.27,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.0,100
FD001,2024,asym,core,30.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.26,0.27,-0.010000000000000009,0.01,0.0,0.01,0.02,0.02,0.0,0.04,0.02,0.02,0.01,100
FD001,2024,asym,rast,30.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.26,0.27,-0.010000000000000009,0.01,0.0,0.01,0.02,0.02,0.0,0.07,0.02,0.05,0.01,100
FD001,2024,core,rast,30.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.27,0.27,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.0,100
FD001,2024,asym,core,30.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.26,0.27,-0.010000000000000009,0.01,0.0,0.01,0.02,0.02,0.0,0.07,0.02,0.05,0.01,100
FD001,2024,asym,rast,30.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.26,0.27,-0.010000000000000009,0.01,0.0,0.01,0.02,0.02,0.0,0.12,0.02,0.09999999999999999,0.01,100
FD001,2024,core,rast,30.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.27,0.27,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.0,100
FD001,2024,asym,core,30.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.26,0.27,-0.010000000000000009,0.01,0.0,0.01,0.02,0.02,0.0,0.12,0.02,0.09999999999999999,0.01,100
FD001,2025,asym,rast,10.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.09,0.09,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.0,100
FD001,2025,core,rast,10.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.07,0.09,-0.01999999999999999,0.0,0.0,0.0,0.0,0.02,-0.02,0.0,0.02,-0.02,0.02,100
FD001,2025,asym,core,10.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.09,0.07,0.01999999999999999,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.02,0.02,100
FD001,2025,asym,rast,10.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.09,0.09,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.0,100
FD001,2025,core,rast,10.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.07,0.09,-0.01999999999999999,0.0,0.0,0.0,0.0,0.02,-0.02,0.0,0.02,-0.02,0.02,100
FD001,2025,asym,core,10.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.09,0.07,0.01999999999999999,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.02,0.02,100
FD001,2025,asym,rast,10.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.09,0.09,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.0,100
FD001,2025,core,rast,10.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.07,0.09,-0.01999999999999999,0.0,0.0,0.0,0.0,0.02,-0.02,0.0,0.02,-0.02,0.02,100
FD001,2025,asym,core,10.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.09,0.07,0.01999999999999999,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.02,0.02,100
FD001,2025,asym,rast,20.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.18,0.19,-0.010000000000000009,0.0,0.0,0.0,0.02,0.03,-0.009999999999999998,0.02,0.03,-0.009999999999999998,0.01,100
FD001,2025,core,rast,20.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.13,0.19,-0.06,0.04,0.0,0.04,0.01,0.03,-0.019999999999999997,0.09,0.03,0.06,0.06,100
FD001,2025,asym,core,20.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.18,0.13,0.04999999999999999,0.0,0.04,-0.04,0.02,0.01,0.01,0.02,0.09,-0.06999999999999999,0.05,100
FD001,2025,asym,rast,20.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.18,0.19,-0.010000000000000009,0.0,0.0,0.0,0.02,0.03,-0.009999999999999998,0.02,0.03,-0.009999999999999998,0.01,100
FD001,2025,core,rast,20.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.13,0.19,-0.06,0.04,0.0,0.04,0.01,0.03,-0.019999999999999997,0.21,0.03,0.18,0.06,100
FD001,2025,asym,core,20.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.18,0.13,0.04999999999999999,0.0,0.04,-0.04,0.02,0.01,0.01,0.02,0.21,-0.19,0.05,100
FD001,2025,asym,rast,20.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.18,0.19,-0.010000000000000009,0.0,0.0,0.0,0.02,0.03,-0.009999999999999998,0.02,0.03,-0.009999999999999998,0.01,100
FD001,2025,core,rast,20.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.13,0.19,-0.06,0.04,0.0,0.04,0.01,0.03,-0.019999999999999997,0.41,0.03,0.38,0.06,100
FD001,2025,asym,core,20.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.18,0.13,0.04999999999999999,0.0,0.04,-0.04,0.02,0.01,0.01,0.02,0.41,-0.38999999999999996,0.05,100
FD001,2025,asym,rast,30.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.27,0.27,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.0,100
FD001,2025,core,rast,30.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.25,0.27,-0.020000000000000018,0.02,0.0,0.02,0.02,0.02,0.0,0.06,0.02,0.039999999999999994,0.02,100
FD001,2025,asym,core,30.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.27,0.25,0.020000000000000018,0.0,0.02,-0.02,0.02,0.02,0.0,0.02,0.06,-0.039999999999999994,0.02,100
FD001,2025,asym,rast,30.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.27,0.27,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.0,100
FD001,2025,core,rast,30.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.25,0.27,-0.020000000000000018,0.02,0.0,0.02,0.02,0.02,0.0,0.12,0.02,0.09999999999999999,0.02,100
FD001,2025,asym,core,30.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.27,0.25,0.020000000000000018,0.0,0.02,-0.02,0.02,0.02,0.0,0.02,0.12,-0.09999999999999999,0.02,100
FD001,2025,asym,rast,30.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.27,0.27,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.0,100
FD001,2025,core,rast,30.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.25,0.27,-0.020000000000000018,0.02,0.0,0.02,0.02,0.02,0.0,0.22,0.02,0.2,0.02,100
FD001,2025,asym,core,30.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.27,0.25,0.020000000000000018,0.0,0.02,-0.02,0.02,0.02,0.0,0.02,0.22,-0.2,0.02,100
FD001,2026,asym,rast,10.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.11,0.06,0.05,0.0,0.01,-0.01,0.04,0.0,0.04,0.04,0.02,0.02,0.05,100
FD001,2026,core,rast,10.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.09,0.06,0.03,0.0,0.01,-0.01,0.02,0.0,0.02,0.02,0.02,0.0,0.03,100
FD001,2026,asym,core,10.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.11,0.09,0.020000000000000004,0.0,0.0,0.0,0.04,0.02,0.02,0.04,0.02,0.02,0.02,100
FD001,2026,asym,rast,10.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.11,0.06,0.05,0.0,0.01,-0.01,0.04,0.0,0.04,0.04,0.05,-0.010000000000000002,0.05,100
FD001,2026,core,rast,10.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.09,0.06,0.03,0.0,0.01,-0.01,0.02,0.0,0.02,0.02,0.05,-0.030000000000000002,0.03,100
FD001,2026,asym,core,10.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.11,0.09,0.020000000000000004,0.0,0.0,0.0,0.04,0.02,0.02,0.04,0.02,0.02,0.02,100
FD001,2026,asym,rast,10.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.11,0.06,0.05,0.0,0.01,-0.01,0.04,0.0,0.04,0.04,0.1,-0.060000000000000005,0.05,100
FD001,2026,core,rast,10.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.09,0.06,0.03,0.0,0.01,-0.01,0.02,0.0,0.02,0.02,0.1,-0.08,0.03,100
FD001,2026,asym,core,10.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.11,0.09,0.020000000000000004,0.0,0.0,0.0,0.04,0.02,0.02,0.04,0.02,0.02,0.02,100
FD001,2026,asym,rast,20.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.21,0.19,0.01999999999999999,0.0,0.0,0.0,0.05,0.03,0.020000000000000004,0.05,0.03,0.020000000000000004,0.02,100
FD001,2026,core,rast,20.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.19,0.19,0.0,0.01,0.0,0.01,0.04,0.03,0.010000000000000002,0.06,0.03,0.03,0.04,100
FD001,2026,asym,core,20.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.21,0.19,0.01999999999999999,0.0,0.01,-0.01,0.05,0.04,0.010000000000000002,0.05,0.06,-0.009999999999999995,0.04,100
