normalization,model,seed,unit_id,denominator_definition,q,epsilon_fraction,rmse_cycles,eligible_windows,late_events,lpr
global,core,2024,B0007,J,0.05,0.0,62.310279459199194,9,9,1.0
global,core,2024,B0044,J,0.05,0.0,31.247035151515394,6,6,1.0
global,core,2024,B0048,J,0.05,0.0,14.54724545712854,4,4,1.0
global,core,2024,B0055,J,0.05,0.0,26.6430948156028,6,6,1.0
global,core,2024,B0007,J,0.05,0.02,62.310279459199194,9,9,1.0
global,core,2024,B0044,J,0.05,0.02,31.247035151515394,6,6,1.0
global,core,2024,B0048,J,0.05,0.02,14.54724545712854,4,4,1.0
global,core,2024,B0055,J,0.05,0.02,26.6430948156028,6,6,1.0
global,core,2024,B0007,J,0.05,0.05,62.310279459199194,9,9,1.0
global,core,2024,B0044,J,0.05,0.05,31.247035151515394,6,6,1.0
global,core,2024,B0048,J,0.05,0.05,14.54724545712854,4,4,1.0
global,core,2024,B0055,J,0.05,0.05,26.6430948156028,6,6,1.0
global,core,2024,B0007,J,0.1,0.0,62.310279459199194,17,17,1.0
global,core,2024,B0044,J,0.1,0.0,31.247035151515394,12,12,1.0
global,core,2024,B0048,J,0.1,0.0,14.54724545712854,8,8,1.0
global,core,2024,B0055,J,0.1,0.0,26.6430948156028,11,11,1.0
global,core,2024,B0007,J,0.1,0.02,62.310279459199194,17,17,1.0
global,core,2024,B0044,J,0.1,0.02,31.247035151515394,12,12,1.0
global,core,2024,B0048,J,0.1,0.02,14.54724545712854,8,8,1.0
global,core,2024,B0055,J,0.1,0.02,26.6430948156028,11,11,1.0
global,core,2024,B0007,J,0.1,0.05,62.310279459199194,17,17,1.0
global,core,2024,B0044,J,0.1,0.05,31.247035151515394,12,12,1.0
global,core,2024,B0048,J,0.1,0.05,14.54724545712854,8,8,1.0
global,core,2024,B0055,J,0.1,0.05,26.6430948156028,11,11,1.0
global,core,2024,B0007,J,0.2,0.0,62.310279459199194,34,27,0.7941176470588235
global,core,2024,B0044,J,0.2,0.0,31.247035151515394,23,23,1.0
global,core,2024,B0048,J,0.2,0.0,14.54724545712854,15,15,1.0
global,core,2024,B0055,J,0.2,0.0,26.6430948156028,21,21,1.0
global,core,2024,B0007,J,0.2,0.02,62.310279459199194,34,24,0.7058823529411765
global,core,2024,B0044,J,0.2,0.02,31.247035151515394,23,23,1.0
global,core,2024,B0048,J,0.2,0.02,14.54724545712854,15,15,1.0
global,core,2024,B0055,J,0.2,0.02,26.6430948156028,21,21,1.0
global,core,2024,B0007,J,0.2,0.05,62.310279459199194,34,18,0.5294117647058824
global,core,2024,B0044,J,0.2,0.05,31.247035151515394,23,21,0.9130434782608695
global,core,2024,B0048,J,0.2,0.05,14.54724545712854,15,15,1.0
global,core,2024,B0055,J,0.2,0.05,26.6430948156028,21,21,1.0
global,core,2024,B0007,J_plus_1,0.05,0.0,62.310279459199194,9,9,1.0
global,core,2024,B0044,J_plus_1,0.05,0.0,31.247035151515394,6,6,1.0
global,core,2024,B0048,J_plus_1,0.05,0.0,14.54724545712854,4,4,1.0
global,core,2024,B0055,J_plus_1,0.05,0.0,26.6430948156028,6,6,1.0
global,core,2024,B0007,J_plus_1,0.05,0.02,62.310279459199194,9,9,1.0
global,core,2024,B0044,J_plus_1,0.05,0.02,31.247035151515394,6,6,1.0
global,core,2024,B0048,J_plus_1,0.05,0.02,14.54724545712854,4,4,1.0
global,core,2024,B0055,J_plus_1,0.05,0.02,26.6430948156028,6,6,1.0
global,core,2024,B0007,J_plus_1,0.05,0.05,62.310279459199194,9,9,1.0
global,core,2024,B0044,J_plus_1,0.05,0.05,31.247035151515394,6,6,1.0
global,core,2024,B0048,J_plus_1,0.05,0.05,14.54724545712854,4,4,1.0
global,core,2024,B0055,J_plus_1,0.05,0.05,26.6430948156028,6,6,1.0
global,core,2024,B0007,J_plus_1,0.1,0.0,62.310279459199194,17,17,1.0
global,core,2024,B0044,J_plus_1,0.1,0.0,31.247035151515394,12,12,1.0
global,core,2024,B0048,J_plus_1,0.1,0.0,14.54724545712854,8,8,1.0
global,core,2024,B0055,J_plus_1,0.1,0.0,26.6430948156028,11,11,1.0
global,core,2024,B0007,J_plus_1,0.1,0.02,62.310279459199194,17,17,1.0
global,core,2024,B0044,J_plus_1,0.1,0.02,31.247035151515394,12,12,1.0
global,core,2024,B0048,J_plus_1,0.1,0.02,14.54724545712854,8,8,1.0
global,core,2024,B0055,J_plus_1,0.1,0.02,26.6430948156028,11,11,1.0
global,core,2024,B0007,J_plus_1,0.1,0.05,62.310279459199194,17,17,1.0
global,core,2024,B0044,J_plus_1,0.1,0.05,31.247035151515394,12,12,1.0
global,core,2024,B0048,J_plus_1,0.1,0.05,14.54724545712854,8,8,1.0
global,core,2024,B0055,J_plus_1,0.1,0.05,26.6430948156028,11,11,1.0
global,core,2024,B0007,J_plus_1,0.2,0.0,62.310279459199194,34,27,0.7941176470588235
global,core,2024,B0044,J_plus_1,0.2,0.0,31.247035151515394,23,23,1.0
global,core,2024,B0048,J_plus_1,0.2,0.0,14.54724545712854,15,15,1.0
global,core,2024,B0055,J_plus_1,0.2,0.0,26.6430948156028,21,21,1.0
global,core,2024,B0007,J_plus_1,0.2,0.02,62.310279459199194,34,24,0.7058823529411765
global,core,2024,B0044,J_plus_1,0.2,0.02,31.247035151515394,23,23,1.0
global,core,2024,B0048,J_plus_1,0.2,0.02,14.54724545712854,15,15,1.0
global,core,2024,B0055,J_plus_1,0.2,0.02,26.6430948156028,21,21,1.0
global,core,2024,B0007,J_plus_1,0.2,0.05,62.310279459199194,34,18,0.5294117647058824
global,core,2024,B0044,J_plus_1,0.2,0.05,31.247035151515394,23,21,0.9130434782608695
global,core,2024,B0048,J_plus_1,0.2,0.05,14.54724545712854,15,15,1.0
global,core,2024,B0055,J_plus_1,0.2,0.05,26.6430948156028,21,21,1.0
global,core,2025,B0007,J,0.05,0.0,47.79743541019686,9,4,0.4444444444444444
global,core,2025,B0044,J,0.05,0.0,18.248707094961073,6,4,0.6666666666666666
global,core,2025,B0048,J,0.05,0.0,4.107016651119468,4,4,1.0
global,core,2025,B0055,J,0.05,0.0,15.044310972892182,6,0,0.0
global,core,2025,B0007,J,0.05,0.02,47.79743541019686,9,0,0.0
global,core,2025,B0044,J,0.05,0.02,18.248707094961073,6,2,0.3333333333333333
global,core,2025,B0048,J,0.05,0.02,4.107016651119468,4,4,1.0
global,core,2025,B0055,J,0.05,0.02,15.044310972892182,6,0,0.0
global,core,2025,B0007,J,0.05,0.05,47.79743541019686,9,0,0.0
global,core,2025,B0044,J,0.05,0.05,18.248707094961073,6,0,0.0
global,core,2025,B0048,J,0.05,0.05,4.107016651119468,4,4,1.0
global,core,2025,B0055,J,0.05,0.05,15.044310972892182,6,0,0.0
global,core,2025,B0007,J,0.1,0.0,47.79743541019686,17,4,0.23529411764705882
global,core,2025,B0044,J,0.1,0.0,18.248707094961073,12,10,0.8333333333333334
global,core,2025,B0048,J,0.1,0.0,4.107016651119468,8,8,1.0
global,core,2025,B0055,J,0.1,0.0,15.044310972892182,11,0,0.0
global,core,2025,B0007,J,0.1,0.02,47.79743541019686,17,0,0.0
global,core,2025,B0044,J,0.1,0.02,18.248707094961073,12,2,0.16666666666666666
global,core,2025,B0048,J,0.1,0.02,4.107016651119468,8,8,1.0
global,core,2025,B0055,J,0.1,0.02,15.044310972892182,11,0,0.0
global,core,2025,B0007,J,0.1,0.05,47.79743541019686,17,0,0.0
global,core,2025,B0044,J,0.1,0.05,18.248707094961073,12,0,0.0
global,core,2025,B0048,J,0.1,0.05,4.107016651119468,8,7,0.875
global,core,2025,B0055,J,0.1,0.05,15.044310972892182,11,0,0.0
global,core,2025,B0007,J,0.2,0.0,47.79743541019686,34,4,0.11764705882352941
global,core,2025,B0044,J,0.2,0.0,18.248707094961073,23,21,0.9130434782608695
global,core,2025,B0048,J,0.2,0.0,4.107016651119468,15,15,1.0
global,core,2025,B0055,J,0.2,0.0,15.044310972892182,21,0,0.0
global,core,2025,B0007,J,0.2,0.02,47.79743541019686,34,0,0.0
global,core,2025,B0044,J,0.2,0.02,18.248707094961073,23,10,0.43478260869565216
global,core,2025,B0048,J,0.2,0.02,4.107016651119468,15,15,1.0
global,core,2025,B0055,J,0.2,0.02,15.044310972892182,21,0,0.0
global,core,2025,B0007,J,0.2,0.05,47.79743541019686,34,0,0.0
global,core,2025,B0044,J,0.2,0.05,18.248707094961073,23,0,0.0
global,core,2025,B0048,J,0.2,0.05,4.107016651119468,15,8,0.5333333333333333
global,core,2025,B0055,J,0.2,0.05,15.044310972892182,21,0,0.0
global,core,2025,B0007,J_plus_1,0.05,0.0,47.79743541019686,9,4,0.4444444444444444
global,core,2025,B0044,J_plus_1,0.05,0.0,18.248707094961073,6,4,0.6666666666666666
global,core,2025,B0048,J_plus_1,0.05,0.0,4.107016651119468,4,4,1.0
global,core,2025,B0055,J_plus_1,0.05,0.0,15.044310972892182,6,0,0.0
global,core,2025,B0007,J_plus_1,0.05,0.02,47.79743541019686,9,0,0.0
global,core,2025,B0044,J_plus_1,0.05,0.02,18.248707094961073,6,2,0.3333333333333333
global,core,2025,B0048,J_plus_1,0.05,0.02,4.107016651119468,4,4,1.0
global,core,2025,B0055,J_plus_1,0.05,0.02,15.044310972892182,6,0,0.0
global,core,2025,B0007,J_plus_1,0.05,0.05,47.79743541019686,9,0,0.0
global,core,2025,B0044,J_plus_1,0.05,0.05,18.248707094961073,6,0,0.0
global,core,2025,B0048,J_plus_1,0.05,0.05,4.107016651119468,4,4,1.0
global,core,2025,B0055,J_plus_1,0.05,0.05,15.044310972892182,6,0,0.0
global,core,2025,B0007,J_plus_1,0.1,0.0,47.79743541019686,17,4,0.23529411764705882
global,core,2025,B0044,J_plus_1,0.1,0.0,18.248707094961073,12,10,0.8333333333333334
global,core,2025,B0048,J_plus_1,0.1,0.0,4.107016651119468,8,8,1.0
global,core,2025,B0055,J_plus_1,0.1,0.0,15.044310972892182,11,0,0.0
global,core,2025,B0007,J_plus_1,0.1,0.02,47.79743541019686,17,0,0.0
global,core,2025,B0044,J_plus_1,0.1,0.02,18.248707094961073,12,2,0.16666666666666666
global,core,2025,B0048,J_plus_1,0.1,0.02,4.107016651119468,8,8,1.0
global,core,2025,B0055,J_plus_1,0.1,0.02,15.044310972892182,11,0,0.0
global,core,2025,B0007,J_plus_1,0.1,0.05,47.79743541019686,17,0,0.0
global,core,2025,B0044,J_plus_1,0.1,0.05,18.248707094961073,12,0,0.0
global,core,2025,B0048,J_plus_1,0.1,0.05,4.107016651119468,8,7,0.875
global,core,2025,B0055,J_plus_1,0.1,0.05,15.044310972892182,11,0,0.0
global,core,2025,B0007,J_plus_1,0.2,0.0,47.79743541019686,34,4,0.11764705882352941
global,core,2025,B0044,J_plus_1,0.2,0.0,18.248707094961073,23,21,0.9130434782608695
global,core,2025,B0048,J_plus_1,0.2,0.0,4.107016651119468,15,15,1.0
global,core,2025,B0055,J_plus_1,0.2,0.0,15.044310972892182,21,0,0.0
global,core,2025,B0007,J_plus_1,0.2,0.02,47.79743541019686,34,0,0.0
global,core,2025,B0044,J_plus_1,0.2,0.02,18.248707094961073,23,10,0.43478260869565216
global,core,2025,B0048,J_plus_1,0.2,0.02,4.107016651119468,15,15,1.0
global,core,2025,B0055,J_plus_1,0.2,0.02,15.044310972892182,21,0,0.0
global,core,2025,B0007,J_plus_1,0.2,0.05,47.79743541019686,34,0,0.0
global,core,2025,B0044,J_plus_1,0.2,0.05,18.248707094961073,23,0,0.0
global,core,2025,B0048,J_plus_1,0.2,0.05,4.107016651119468,15,8,0.5333333333333333
global,core,2025,B0055,J_plus_1,0.2,0.05,15.044310972892182,21,0,0.0
